文件名	音素序号	音素	音素起点时间	音素末点时间	是否为元音	音素末边界类型	音素内音高重音类型	所在词语序号	所在词语	词语起点时间	词语末点时间	词末边界类型	词内音高重音类型	
AM-M-4_12polite	3	ah	0.988	1.077	1	0	H*	2	shut	0.827	1.134	1	H*
AM-M-4_12polite	4	t%	1.077	1.134	0	1	NULL	2	shut	0.827	1.134	1	H*
AM-M-4_12polite	5	dhah%	1.134	1.253	1	1	NULL	3	the	1.134	1.253	1	NULL
AM-M-4_12polite	6	wihn%	1.253	1.510	1	0	L**	4	window	1.253	1.682	4	L** && L-H%
AM-M-4_12polite	7	dow%	1.510	1.682	1	4	L-H%	4	window	1.253	1.682	4	L** && L-H%
AM-M-4_12polite	8	sil	1.682	2.500	0	0	L-H%	5	sil	1.682	2.500	0	L-H%
AM-M-4_2polite	1	sil	0	1.090	0	0	NULL	1	sil	0	1.090	0	NULL
AM-M-4_2polite	2	yah%	1.090	1.266	1	1	NULL	2	you	1.090	1.266	1	NULL
AM-M-4_2polite	3	k	1.266	1.337	0	0	NULL	3	could	1.266	1.461	1	NULL
AM-M-4_2polite	4	uhd%	1.337	1.461	1	1	NULL	3	could	1.266	1.461	1	NULL
AM-M-4_2polite	5	s	1.461	1.613	0	0	NULL	4	send	1.461	1.754	1	H*
AM-M-4_2polite	6	ehnd%	1.613	1.754	1	1	H*	4	send	1.461	1.754	1	H*
AM-M-4_2polite	7	ahn%	1.754	1.871	1	1	NULL	5	an	1.754	1.871	1	NULL
AM-M-4_2polite	8	iy%	1.871	2.076	1	0	L+H**	6	email	1.871	2.384	4	L+H** && L-L%
AM-M-4_2polite	9	meyl%	2.076	2.384	1	4	L-L%	6	email	1.871	2.384	4	L+H** && L-L%
AM-M-4_2polite	10	sil	2.384	2.687	0	0	L-L%	7	sil	2.384	2.687	0	L-L%
AM-M-4_32impolite	1	sil	0	1.165	0	0	NULL	1	sil	0	1.165	0	NULL
AM-M-4_32impolite	2	yah%	1.165	1.247	1	1	NULL	2	you	1.165	1.247	1	NULL
AM-M-4_32impolite	3	k	1.247	1.276	0	0	NULL	3	can	1.247	1.371	1	NULL
AM-M-4_32impolite	4	an%	1.276	1.371	1	1	NULL	3	can	1.247	1.371	1	NULL
AM-M-4_32impolite	5	s	1.371	1.506	0	0	H*	4	send	1.371	1.626	1	H*
AM-M-4_32impolite	6	ehnd%	1.506	1.626	1	1	NULL	4	send	1.371	1.626	1	H*
AM-M-4_32impolite	7	ahn%	1.626	1.731	1	1	NULL	5	an	1.626	1.731	1	NULL
AM-M-4_32impolite	8	iy%	1.731	1.830	1	0	!H**	6	email	1.731	2.025	4	!H** && L-L%
AM-M-4_32impolite	9	meyl%	1.830	2.025	1	4	L-L%	6	email	1.731	2.025	4	!H** && L-L%
AM-M-4_32impolite	10	sil	2.025	2.500	0	0	L-L%	7	sil	2.025	2.500	0	L-L%
AM-M-4_35impolite	1	sil	0	0.576	0	0	NULL	1	sil	0	0.576	0	NULL
AM-M-4_35impolite	2	sh	0.576	0.811	0	0	NULL	2	shut	0.576	1.097	1	H*
AM-M-4_35impolite	3	ah	0.811	0.968	1	0	H*	2	shut	0.576	1.097	1	H*
AM-M-4_35impolite	4	t%	0.968	1.097	0	1	NULL	2	shut	0.576	1.097	1	H*
AM-M-4_35impolite	5	dhah%	1.097	1.223	1	1	NULL	3	the	1.097	1.223	1	NULL
AM-M-4_35impolite	6	wihn%	1.223	1.541	1	0	!H*	4	window	1.223	1.696	1	!H*
